GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cicd_passenger_assignment,ie.PassengerAssignment,mainprogram,17,0,2,0,7,0,4,0,3,0
cicd_passenger_assignment,ie.PassengerAssignment,Passenger,0,139,1,15,0,42,1,19,0,12
